epoch,step,train_loss,val_loss
0,49,0.6941937315006199,
0,99,0.6069512329177454,
0,149,0.5930742208569308,
0,199,0.5982123954556624,
0,249,0.5594791722291166,
0,299,0.5617701308357677,
0,349,0.5449591951825962,
0,373,,0.5286652170267314
1,399,0.5527238134349484,
1,449,0.5294732043567856,
1,499,0.54233659145106,
1,549,0.5458307749698339,
1,599,0.4908796509459279,
1,649,0.515990637326738,
1,699,0.49422084087441737,
1,747,,0.509461442797935
2,749,0.4758128090276128,
2,799,0.49036821908650763,
2,849,0.5166602318200426,
2,899,0.5087348894613536,
2,949,0.5045358975222732,
2,999,0.46444442552858695,
2,1049,0.5398023859794192,
2,1099,0.4520886738625123,
2,1121,,0.5161997145537099
3,1149,0.4876357180346693,
3,1199,0.519374449317629,
3,1249,0.5083719675496914,
3,1299,0.48067059755633723,
3,1349,0.48395114086945146,
3,1399,0.49082367680727856,
3,1449,0.49702566578899476,
3,1495,,0.5106403441176017
4,1499,0.4717958317608851,
4,1549,0.44933576287590726,
4,1599,0.46264726193612393,
4,1649,0.49104116950847293,
4,1699,0.48755817487301634,
4,1749,0.4741700501964126,
4,1799,0.39857695614945043,
4,1849,0.44407114637283246,
4,1869,,0.5057935009338937
5,1899,0.4524698845673838,
5,1949,0.5369340900799761,
5,1999,0.49908890472704914,
5,2049,0.5168848010493403,
5,2099,0.514244961049027,
5,2149,0.45987597577319744,
5,2199,0.45562490021216046,
5,2243,,0.5066983952835218
6,2249,0.46452321279935016,
6,2299,0.4940631232806022,
6,2349,0.47356267564673715,
6,2399,0.49430428898065354,
6,2449,0.44176164956390723,
6,2499,0.4469218417112249,
6,2549,0.40390718734772335,
6,2599,0.47780946701458915,
6,2617,,0.5083011332026841
7,2649,0.4417520091785246,
7,2699,0.4853069780830926,
7,2749,0.46705192651290206,
7,2799,0.44141456203165985,
7,2849,0.49777632359311946,
7,2899,0.5172092642458137,
7,2949,0.47615900574491726,
7,2991,,0.5146899220458556
8,2999,0.4987821319395719,
8,3049,0.432064036515734,
8,3099,0.5085171490568021,
8,3149,0.47157935173855475,
8,3199,0.4678255119770112,
8,3249,0.4656179706650443,
8,3299,0.43320937861079645,
8,3349,0.43200993038657065,
8,3365,,0.5190265194098913
9,3399,0.36304710144608576,
9,3449,0.4274260566563637,
9,3499,0.46665453860252537,
9,3549,0.4531154244997012,
9,3599,0.4417582765332091,
9,3649,0.4627769209551505,
9,3699,0.42788472499577984,
9,3739,,0.5160948786666335
10,3749,0.4560365945631049,
10,3799,0.42889254619025313,
10,3849,0.4227130994012013,
10,3899,0.4271074474253932,
10,3949,0.40857791075705263,
10,3999,0.42284396509899835,
10,4049,0.44233541801696885,
10,4099,0.4077593961084688,
10,4113,,0.5140651115491275
11,4149,0.4358013138365179,
11,4199,0.4673560181915655,
11,4249,0.46650762441328536,
11,4299,0.48856015173705536,
11,4349,0.45243336670854967,
11,4399,0.4717629128544756,
11,4449,0.4479753556394366,
11,4487,,0.5214217668846529
12,4499,0.4461565922647024,
12,4549,0.42956514399467194,
12,4599,0.4632551638702363,
12,4649,0.453475756882579,
12,4699,0.4585003171374498,
12,4749,0.451767081211776,
12,4799,0.45132999889330977,
12,4849,0.43593119742998654,
12,4861,,0.5192675749003496
13,4899,0.4492331301266921,
13,4949,0.396574271788889,
13,4999,0.3907400187652198,
13,5049,0.426892101821665,
13,5099,0.457791837949159,
13,5149,0.40533038154385564,
13,5199,0.4072423211513325,
13,5235,,0.526780389594716
14,5249,0.42619314905277017,
14,5299,0.41307467399792197,
14,5349,0.4184378859114425,
14,5399,0.3966929609563173,
14,5449,0.40182705750968195,
14,5499,0.4210328087420996,
14,5549,0.41230643603233386,
14,5599,0.4030662004692699,
14,5609,,0.5228784241454385
15,5649,0.42705853332770405,
15,5699,0.39958532753189957,
15,5749,0.40654350673938666,
15,5799,0.4267793108251752,
15,5849,0.42802987999893605,
15,5899,0.479980676800327,
15,5949,0.41840026239642275,
15,5983,,0.5220462833415837
16,5999,0.44685959979987083,
16,6049,0.4249743840959435,
16,6099,0.45221489830234163,
16,6149,0.3963937152027328,
16,6199,0.4397428249280072,
16,6249,0.4029393790978027,
16,6299,0.4282491663587438,
16,6349,0.45035633397616365,
16,6357,,0.5244301012907521
